NAZWA,CENA,PRZEBIEG,ROK,MIASTO,WOJEWODZTWO,PALIWO
Skoda Octavia 1.4 TSI Ambiente,21 998,208 000 km,2011,Krzyz Wielkopolski,Wielkopolskie,Benzyna
BMW X3,29 900,184 000 km,2007,Lask,Lodzkie,Diesel
Hyundai Kona 1.6 T-GDI Style 4WD DCT,74 900,94 000 km,2018,Lodz,Lodzkie,Benzyna
Cupra Tavascan,314 955,1 km,2024,Gdynia,Pomorskie,Elektryczny
Volkswagen Touareg 3.0 V6 TDI Blue Motion DPF Automatik Exclusive,79 950,253 000 km,2013,Piaseczno,Mazowieckie,Diesel
Citroen C4 Picasso,22 500,288 000 km,2014,Miedzychod,Wielkopolskie,Diesel
MINI Countryman,61 500,86 690 km,2016,Falkowo,Wielkopolskie,Benzyna
Cupra Formentor 2.0 TSI 4Drive VZ DSG,199 000,7 km,2024,Katowice,Slaskie,Benzyna
Honda Accord 2.0 Elegance,42 000,242 000 km,2011,Skierniewice,Lodzkie,Benzyna+LPG
Opel Adam,29 900,118 300 km,2014,Wydminy,Warminsko-mazurskie,Benzyna
Audi SQ7 4.0 TDI Quattro Tiptronic,179 990,158 900 km,2017,Koscierzyna,Pomorskie,Diesel
Renault Megane,19 900,101 000 km,2009,Dabrowa Tarnowska,Malopolskie,Benzyna+LPG
Opel Astra,28 300,180 000 km,2015,Widzow,Slaskie,Benzyna+LPG
Mercedes-Benz CLA 200 Shooting Brake 7G-DCT Edition Progressive Line,94 600,159 700 km,2019,Turek,Wielkopolskie,Benzyna
Volvo V60 D2 Momentum,37 900,229 000 km,2014,Bielsk Podlaski,Podlaskie,Diesel
Volkswagen Passat 2.0 TDI SCR Comfortline,74 700,180 000 km,2018,Plock,Mazowieckie,Diesel
Opel Vivaro,56 900,338 452 km,2016,Krakow,Malopolskie,Diesel
Peugeot Partner 1.6 VTi Access,31 000,126 000 km,2017,Swinoujscie,Zachodniopomorskie,Benzyna
Mercedes-Benz Klasa B 180 CDI,15 500,282 500 km,2009,Zebrzydowice,Slaskie,Diesel
Kia XCeed 1.5 T-GDI OPF EDITION 7,90 900,24 000 km,2023,Lebork,Pomorskie,Benzyna
Volvo XC 90 T6 AWD Momentum 7os,139 000,155 000 km,2018,Krakow,Malopolskie,Benzyna
Renault Kadjar 1.5 Blue dCi Intens EDC,73 900,45 100 km,2020,Wilkowo Polskie,Wielkopolskie,Diesel
Volkswagen California,254 610,128 000 km,2022,Lugowina,Zachodniopomorskie,Diesel
